return_id,return_date,order_id,product_id,quantity,return_reason
RET00179,2023-06-22,ORD009007,P018,1,Late Delivery
RET00180,2023-06-27,ORD009037,P009,3,Late Delivery
RET00181,2023-06-19,ORD009073,P021,1,Customer Changed Mind
RET00182,2023-06-28,ORD009131,P015,1,Damaged
RET00183,2023-06-23,ORD009135,P017,4,Customer Changed Mind
RET00184,2023-06-29,ORD009197,P031,2,Wrong Item
RET00185,2023-07-01,ORD009226,P028,5,Late Delivery
RET00186,2023-06-30,ORD009253,P035,2,Damaged
RET00187,2023-07-02,ORD009304,P010,1,Damaged
RET00188,2023-07-03,ORD009307,P038,1,Wrong Item
RET00189,2023-07-02,ORD009371,P013,3,Damaged
RET00190,2023-07-05,ORD009406,P028,3,Wrong Item
RET00191,2023-07-04,ORD009431,P021,1,Damaged
RET00192,2023-07-04,ORD009502,P035,2,Customer Changed Mind
RET00193,2023-07-08,ORD009583,P008,2,Wrong Item
RET00194,2023-07-06,ORD009608,P021,1,Late Delivery
RET00195,2023-07-06,ORD009617,P037,2,Wrong Item
RET00196,2023-07-08,ORD009624,P039,4,Customer Changed Mind
RET00197,2023-07-09,ORD009663,P035,1,Late Delivery
RET00198,2023-07-04,ORD009684,P004,1,Late Delivery
RET00199,2023-07-02,ORD009699,P007,1,Customer Changed Mind
RET00200,2023-07-08,ORD009704,P009,3,Customer Changed Mind
RET00201,2023-07-08,ORD009755,P034,3,Wrong Item
RET00202,2023-07-04,ORD009793,P028,2,Late Delivery
RET00203,2023-07-12,ORD009811,P031,2,Damaged
RET00204,2023-07-06,ORD009832,P040,2,Wrong Item
RET00205,2023-07-09,ORD009847,P004,1,Customer Changed Mind
RET00206,2023-07-13,ORD009878,P039,3,Damaged
RET00207,2023-07-09,ORD009894,P023,3,Damaged
RET00208,2023-07-13,ORD009984,P026,2,Wrong Item
RET00209,2023-07-15,ORD009997,P029,3,Damaged
RET00210,2023-07-06,ORD010012,P001,1,Customer Changed Mind
RET00211,2023-07-10,ORD010016,P007,4,Wrong Item
RET00212,2023-07-07,ORD010072,P010,2,Customer Changed Mind
RET00213,2023-07-10,ORD010227,P033,4,Late Delivery
RET00214,2023-07-18,ORD010241,P013,2,Wrong Item
RET00215,2023-07-11,ORD010245,P028,1,Customer Changed Mind
RET00216,2023-07-18,ORD010309,P021,5,Wrong Item
RET00217,2023-07-18,ORD010347,P036,1,Damaged
RET00218,2023-07-22,ORD010476,P007,1,Late Delivery
RET00219,2023-07-23,ORD010493,P037,2,Damaged
RET00220,2023-07-17,ORD010495,P024,2,Wrong Item
RET00221,2023-07-20,ORD010558,P038,6,Damaged
RET00222,2023-07-22,ORD010626,P033,3,Customer Changed Mind
RET00223,2023-07-21,ORD010630,P030,2,Wrong Item
RET00224,2023-07-22,ORD010680,P003,2,Wrong Item
RET00225,2023-07-21,ORD010822,P013,1,Late Delivery
RET00226,2023-07-27,ORD010887,P016,1,Late Delivery
RET00227,2023-07-24,ORD010996,P036,2,Damaged
RET00228,2023-07-31,ORD011038,P017,1,Damaged
RET00229,2023-07-30,ORD011041,P018,1,Damaged
RET00230,2023-07-25,ORD011112,P001,5,Wrong Item
RET00231,2023-07-27,ORD011121,P040,5,Damaged
RET00232,2023-07-31,ORD011194,P012,3,Damaged
RET00233,2023-08-03,ORD011235,P002,2,Late Delivery
RET00234,2023-07-28,ORD011262,P017,3,Customer Changed Mind
RET00235,2023-07-31,ORD011270,P002,1,Late Delivery
RET00236,2023-07-29,ORD011292,P004,3,Wrong Item
RET00237,2023-08-06,ORD011321,P028,1,Damaged
RET00238,2023-08-03,ORD011402,P004,1,Wrong Item
RET00239,2023-08-02,ORD011447,P037,1,Damaged
RET00240,2023-07-31,ORD011449,P034,1,Wrong Item
RET00241,2023-08-04,ORD011453,P017,3,Late Delivery
RET00242,2023-08-08,ORD011458,P007,3,Wrong Item
RET00243,2023-08-09,ORD011484,P030,3,Wrong Item
RET00244,2023-08-06,ORD011524,P016,2,Wrong Item
RET00245,2023-08-11,ORD011531,P028,3,Customer Changed Mind
RET00246,2023-08-11,ORD011587,P004,2,Late Delivery
RET00247,2023-08-13,ORD011627,P027,4,Customer Changed Mind
RET00248,2023-08-09,ORD011654,P009,1,Customer Changed Mind
RET00249,2023-08-07,ORD011665,P036,1,Damaged
RET00250,2023-08-18,ORD012027,P017,3,Wrong Item
RET00251,2023-08-21,ORD012181,P016,1,Late Delivery
RET00252,2023-08-20,ORD012200,P027,2,Customer Changed Mind
RET00253,2023-08-23,ORD012223,P004,5,Late Delivery
RET00254,2023-08-25,ORD012273,P033,2,Damaged
RET00255,2023-08-23,ORD012393,P004,3,Customer Changed Mind
RET00256,2023-08-21,ORD012396,P028,2,Late Delivery
RET00257,2023-08-22,ORD012496,P016,1,Late Delivery
RET00258,2023-08-24,ORD012505,P008,2,Wrong Item
RET00259,2023-08-25,ORD012620,P038,2,Wrong Item
RET00260,2023-09-03,ORD012752,P025,3,Late Delivery
RET00261,2023-08-31,ORD012780,P032,9,Damaged
RET00262,2023-08-30,ORD012785,P025,3,Customer Changed Mind
RET00263,2023-08-28,ORD012798,P021,3,Late Delivery
RET00264,2023-09-03,ORD012992,P037,2,Late Delivery
RET00265,2023-09-10,ORD013088,P040,4,Late Delivery
RET00266,2023-09-12,ORD013159,P027,1,Customer Changed Mind
RET00267,2023-09-12,ORD013170,P016,1,Wrong Item
RET00268,2023-09-04,ORD013206,P010,1,Damaged
RET00269,2023-09-05,ORD013208,P033,1,Damaged
RET00270,2023-09-10,ORD013229,P028,1,Late Delivery
RET00271,2023-09-07,ORD013236,P010,1,Customer Changed Mind
RET00272,2023-09-14,ORD013351,P012,1,Late Delivery
RET00273,2023-09-09,ORD013375,P008,2,Customer Changed Mind
RET00274,2023-09-13,ORD013428,P034,1,Damaged
RET00275,2023-09-18,ORD013561,P012,1,Wrong Item
RET00276,2023-09-20,ORD013579,P039,3,Late Delivery
RET00277,2023-09-17,ORD013722,P013,1,Damaged
RET00278,2023-09-20,ORD013863,P021,2,Late Delivery
RET00279,2023-09-25,ORD013970,P039,2,Wrong Item
RET00280,2023-09-26,ORD014001,P033,1,Customer Changed Mind
RET00281,2023-09-26,ORD014108,P005,1,Customer Changed Mind
RET00282,2023-09-26,ORD014180,P037,6,Late Delivery
RET00283,2023-09-30,ORD014191,P019,3,Late Delivery
RET00284,2023-09-26,ORD014200,P026,2,Customer Changed Mind
RET00285,2023-10-10,ORD014497,P019,4,Late Delivery
RET00286,2023-10-10,ORD014509,P016,3,Damaged
RET00287,2023-10-06,ORD014644,P001,1,Wrong Item
RET00288,2023-10-11,ORD014652,P031,1,Late Delivery
RET00289,2023-10-11,ORD014673,P021,1,Damaged
RET00290,2023-10-09,ORD014681,P004,5,Late Delivery
RET00291,2023-10-13,ORD014700,P029,3,Late Delivery
RET00292,2023-10-13,ORD014703,P038,1,Quality Issue
RET00293,2023-10-10,ORD014722,P019,4,Damaged
RET00294,2023-10-08,ORD014746,P032,4,Damaged
RET00295,2023-10-13,ORD014853,P038,7,Quality Issue
RET00296,2023-10-14,ORD014871,P031,2,Late Delivery
RET00297,2023-10-09,ORD014905,P038,2,Quality Issue
RET00298,2023-10-16,ORD014924,P038,9,Quality Issue
RET00299,2023-10-17,ORD014933,P036,1,Late Delivery
RET00300,2023-10-14,ORD014942,P038,1,Quality Issue
RET00301,2023-10-14,ORD014979,P007,5,Damaged
RET00302,2023-10-19,ORD015011,P031,1,Damaged
RET00303,2023-10-13,ORD015018,P013,1,Wrong Item
RET00304,2023-10-19,ORD015039,P001,1,Customer Changed Mind
RET00305,2023-10-21,ORD015091,P038,1,Quality Issue
RET00306,2023-10-19,ORD015100,P008,1,Wrong Item
RET00307,2023-10-19,ORD015140,P038,9,Quality Issue
RET00308,2023-10-20,ORD015147,P016,1,Damaged
RET00309,2023-10-20,ORD015183,P004,1,Customer Changed Mind
RET00310,2023-10-17,ORD015269,P022,1,Late Delivery
RET00311,2023-10-24,ORD015298,P021,5,Late Delivery
RET00312,2023-10-24,ORD015318,P038,2,Quality Issue
RET00313,2023-10-19,ORD015387,P038,1,Quality Issue
RET00314,2023-10-25,ORD015416,P026,1,Customer Changed Mind
RET00315,2023-10-28,ORD015430,P007,1,Late Delivery
RET00316,2023-10-28,ORD015453,P019,2,Late Delivery
RET00317,2023-10-24,ORD015497,P018,1,Customer Changed Mind
RET00318,2023-10-26,ORD015537,P038,2,Quality Issue
RET00319,2023-10-30,ORD015579,P016,2,Customer Changed Mind
RET00320,2023-10-23,ORD015585,P003,1,Late Delivery
RET00321,2023-10-26,ORD015591,P017,1,Damaged
RET00322,2023-10-29,ORD015608,P009,3,Wrong Item
RET00323,2023-10-28,ORD015651,P016,2,Wrong Item
RET00324,2023-10-28,ORD015683,P004,2,Customer Changed Mind
RET00325,2023-10-27,ORD015740,P011,1,Late Delivery
RET00326,2023-10-30,ORD015765,P024,3,Damaged
RET00327,2023-10-30,ORD015796,P004,2,Wrong Item
RET00328,2023-10-28,ORD015803,P038,1,Quality Issue
RET00329,2023-11-04,ORD015880,P018,3,Damaged
RET00330,2023-10-31,ORD016016,P017,2,Late Delivery
RET00331,2023-11-07,ORD016129,P027,4,Damaged
RET00332,2023-11-12,ORD016162,P018,4,Customer Changed Mind
RET00333,2023-11-13,ORD016199,P008,1,Damaged
RET00334,2023-11-06,ORD016348,P010,4,Damaged
RET00335,2023-11-11,ORD016423,P004,1,Damaged
RET00336,2023-11-17,ORD016445,P028,1,Wrong Item
RET00337,2023-11-18,ORD016538,P036,2,Customer Changed Mind
RET00338,2023-11-10,ORD016545,P001,4,Customer Changed Mind
RET00339,2023-11-20,ORD016585,P031,2,Damaged
RET00340,2023-11-15,ORD016639,P013,4,Wrong Item
RET00341,2023-11-18,ORD016649,P019,1,Damaged
RET00342,2023-11-14,ORD016666,P025,4,Wrong Item
RET00343,2023-11-19,ORD016695,P019,1,Damaged
RET00344,2023-11-14,ORD016728,P039,3,Customer Changed Mind
RET00345,2023-11-15,ORD016745,P004,2,Wrong Item
RET00346,2023-11-20,ORD016769,P012,3,Customer Changed Mind
RET00347,2023-11-20,ORD016810,P007,2,Customer Changed Mind
RET00348,2023-11-22,ORD016926,P021,1,Late Delivery
RET00349,2023-11-22,ORD016983,P033,2,Late Delivery
RET00350,2023-11-22,ORD017044,P007,1,Wrong Item
RET00351,2023-11-26,ORD017068,P017,1,Damaged
RET00352,2023-11-22,ORD017172,P031,2,Late Delivery
RET00353,2023-11-27,ORD017175,P020,2,Damaged
RET00354,2023-11-26,ORD017230,P014,2,Wrong Item
RET00355,2023-11-23,ORD017261,P039,1,Late Delivery
RET00356,2023-12-01,ORD017272,P018,1,Late Delivery
RET00357,2023-11-28,ORD017282,P037,2,Damaged
RET00358,2023-11-27,ORD017326,P021,1,Wrong Item
RET00359,2023-11-29,ORD017328,P020,2,Wrong Item
RET00360,2023-11-27,ORD017460,P017,1,Customer Changed Mind
RET00361,2023-11-28,ORD017470,P036,1,Late Delivery
RET00362,2023-12-01,ORD017486,P036,1,Damaged
RET00363,2023-11-30,ORD017552,P019,1,Late Delivery
RET00364,2023-12-02,ORD017589,P021,3,Damaged
RET00365,2023-12-06,ORD017611,P007,1,Wrong Item
RET00366,2023-12-10,ORD017713,P004,2,Customer Changed Mind
RET00367,2023-12-08,ORD017789,P021,3,Customer Changed Mind
RET00368,2023-12-12,ORD017790,P002,4,Wrong Item
RET00369,2023-12-14,ORD017917,P010,1,Quality Issue
RET00370,2023-12-11,ORD017950,P023,1,Damaged
RET00371,2023-12-14,ORD017984,P010,2,Quality Issue
RET00372,2023-12-12,ORD018027,P033,3,Customer Changed Mind
RET00373,2023-12-12,ORD018078,P027,1,Damaged
RET00374,2023-12-15,ORD018091,P007,4,Wrong Item
RET00375,2023-12-13,ORD018107,P035,4,Wrong Item
RET00376,2023-12-18,ORD018116,P035,5,Damaged
RET00377,2023-12-18,ORD018162,P040,4,Late Delivery
RET00378,2023-12-15,ORD018215,P009,1,Wrong Item
RET00379,2023-12-13,ORD018307,P010,1,Quality Issue
RET00380,2023-12-21,ORD018328,P006,5,Late Delivery
RET00381,2023-12-21,ORD018420,P033,3,Wrong Item
RET00382,2023-12-26,ORD018471,P010,3,Quality Issue
RET00383,2023-12-20,ORD018677,P010,3,Quality Issue
RET00384,2023-12-25,ORD018682,P010,1,Quality Issue
RET00385,2023-12-27,ORD018688,P023,5,Wrong Item
RET00386,2023-12-25,ORD018696,P010,1,Quality Issue
RET00387,2023-12-31,ORD018769,P028,1,Damaged
RET00388,2023-12-27,ORD018783,P020,5,Customer Changed Mind
RET00389,2023-12-26,ORD018816,P031,1,Wrong Item
RET00390,2023-12-27,ORD018837,P010,1,Quality Issue
RET00391,2023-12-30,ORD018850,P007,1,Late Delivery
RET00392,2023-12-31,ORD018862,P010,4,Quality Issue
RET00393,2023-12-27,ORD018877,P040,1,Wrong Item
RET00394,2023-12-31,ORD018891,P005,7,Damaged
RET00395,2024-01-02,ORD018912,P028,1,Late Delivery
RET00396,2023-12-27,ORD018953,P010,1,Quality Issue
RET00397,2023-12-29,ORD018979,P033,1,Wrong Item
RET00398,2024-01-02,ORD018996,P010,2,Quality Issue
RET00399,2024-01-04,ORD019021,P035,1,Customer Changed Mind
RET00400,2023-12-29,ORD019042,P009,1,Damaged
RET00401,2024-01-03,ORD019156,P001,1,Customer Changed Mind
RET00402,2024-01-01,ORD019167,P039,1,Late Delivery
RET00403,2024-01-08,ORD019182,P010,2,Quality Issue
RET00404,2023-12-31,ORD019183,P010,1,Quality Issue
RET00405,2024-01-04,ORD019248,P010,2,Quality Issue
RET00406,2024-01-08,ORD019279,P021,8,Damaged
